ID,Age,Work_Experience,Family_Size,Gender_lb,Ever_Married_lb,Graduated_lb,Profession_lb,Spending_Score_lb,Var_1_lb
458989,36,0.0,1.0,0,1,1,2,2,5
458994,37,8.0,4.0,1,1,1,5,0,5
459000,59,11.0,2.0,1,1,0,4,1,5
459003,47,0.0,5.0,1,1,1,1,1,3
459005,61,5.0,3.0,1,1,1,1,2,5
459008,47,1.0,3.0,0,1,1,0,0,5
459013,50,2.0,4.0,1,1,1,0,0,5
459014,19,0.0,4.0,1,0,0,5,2,5
459015,22,0.0,3.0,1,0,0,5,2,5
459016,22,0.0,6.0,0,0,0,5,2,5
459024,50,1.0,5.0,1,1,1,0,0,5
459026,27,8.0,3.0,1,0,0,5,2,2
459032,18,0.0,3.0,1,0,0,1,2,5
459033,61,0.0,1.0,0,1,1,0,2,5
459036,20,1.0,3.0,0,1,1,7,0,2
459039,45,1.0,2.0,1,1,1,0,0,5
459041,55,8.0,1.0,1,1,1,0,2,5
459045,88,1.0,4.0,0,1,1,7,0,5
459058,42,0.0,4.0,1,0,1,0,2,2
459061,35,9.0,3.0,0,1,1,5,1,5
459064,27,5.0,4.0,1,1,0,4,1,5
459074,29,0.0,4.0,0,0,1,5,2,3
459077,79,1.0,2.0,0,1,0,7,1,5
459080,89,1.0,2.0,1,1,0,7,2,5
459090,31,1.0,2.0,1,0,0,0,2,5
459091,72,1.0,6.0,1,1,1,0,0,0
459100,61,11.0,1.0,0,0,1,0,2,5
459106,62,0.0,2.0,1,1,1,0,2,5
459114,56,1.0,2.0,1,1,1,0,0,5
459116,60,2.0,5.0,1,1,1,0,0,5
459117,68,0.0,2.0,1,1,1,0,1,5
459119,57,8.0,3.0,1,1,1,4,1,5
459120,19,5.0,5.0,1,0,0,5,2,1
459121,51,3.0,6.0,0,1,1,0,0,5
459123,86,1.0,2.0,0,1,0,0,1,5
459130,74,1.0,2.0,0,1,0,7,1,5
459132,23,6.0,2.0,1,0,0,3,2,5
459136,47,0.0,2.0,1,1,1,0,0,5
459140,19,7.0,6.0,0,0,0,5,2,5
459143,50,0.0,4.0,1,1,0,0,1,5
459150,48,0.0,1.0,0,0,1,1,2,5
459160,70,1.0,2.0,1,1,1,1,0,5
459161,50,3.0,5.0,1,1,1,4,1,5
459162,83,0.0,2.0,0,1,1,7,1,5
459163,35,0.0,1.0,1,0,1,3,2,5
459167,36,0.0,2.0,0,0,1,0,2,4
459170,35,1.0,1.0,0,0,1,0,2,5
459171,35,0.0,2.0,1,1,1,0,0,5
459172,18,3.0,3.0,1,0,0,5,2,1
459175,73,1.0,2.0,0,1,1,0,0,5
459181,62,1.0,3.0,1,1,0,0,1,5
459182,46,1.0,2.0,0,1,1,0,0,5
459184,43,0.0,4.0,1,1,1,3,2,3
459185,32,7.0,1.0,0,0,1,3,2,5
459193,39,0.0,1.0,1,0,1,0,2,5
459194,89,0.0,2.0,0,1,1,7,1,5
459196,18,0.0,3.0,0,0,0,5,2,3
459208,57,0.0,2.0,0,1,1,0,1,2
459209,18,0.0,4.0,0,0,0,3,2,5
459210,71,1.0,2.0,0,1,1,0,1,5
459212,69,0.0,2.0,0,1,1,0,0,5
459213,42,0.0,4.0,0,0,1,5,2,5
459216,36,0.0,2.0,0,0,1,0,2,5
459220,80,1.0,2.0,0,1,1,7,1,5
459222,67,0.0,3.0,0,1,1,0,0,5
459223,47,1.0,4.0,0,1,1,1,0,5
459224,49,0.0,2.0,0,1,1,0,0,5
459227,32,9.0,4.0,0,1,0,2,2,5
459229,65,1.0,4.0,0,1,1,7,0,5
459236,78,0.0,2.0,0,1,0,7,1,5
459237,33,1.0,6.0,1,0,1,0,2,5
459244,48,1.0,1.0,1,1,1,0,2,5
459247,58,1.0,5.0,1,1,1,4,0,5
459263,30,9.0,4.0,0,0,0,5,2,5
459264,35,0.0,2.0,0,0,1,0,2,5
459266,32,6.0,5.0,1,0,1,5,2,5
459270,69,1.0,2.0,1,1,1,6,1,5
459284,71,1.0,2.0,0,1,1,7,1,5
459287,43,0.0,1.0,1,0,1,7,2,3
459288,37,0.0,2.0,1,1,1,0,2,5
459289,42,0.0,1.0,1,0,1,1,2,5
459290,70,1.0,2.0,0,1,1,1,0,5
459292,46,0.0,2.0,1,0,1,0,2,5
459296,70,0.0,2.0,1,1,1,0,0,5
459307,60,1.0,1.0,1,1,1,3,2,5
459310,37,0.0,2.0,1,0,1,3,2,1
459316,30,1.0,2.0,1,1,1,5,2,5
459318,32,1.0,3.0,0,0,1,2,2,5
459320,26,0.0,3.0,1,1,1,4,2,5
459322,42,0.0,1.0,1,0,1,8,2,5
459339,29,8.0,2.0,1,1,1,5,1,5
459344,88,1.0,2.0,0,1,1,0,1,5
459347,70,1.0,1.0,1,1,1,7,2,5
459349,50,1.0,4.0,0,1,1,0,1,5
459352,43,4.0,4.0,1,1,1,1,0,2
459353,51,6.0,2.0,1,1,1,0,0,5
459362,60,0.0,2.0,1,1,0,4,2,5
459363,46,2.0,1.0,1,0,1,0,2,5
459364,81,0.0,2.0,0,1,1,8,2,5
459375,22,0.0,4.0,1,1,0,4,1,5
459377,37,0.0,3.0,1,1,1,0,0,5
459383,43,0.0,1.0,1,1,0,2,2,5
459384,50,1.0,3.0,1,1,1,0,0,5
459385,35,1.0,2.0,0,1,1,0,0,6
459386,65,1.0,2.0,1,1,0,7,1,5
459391,41,0.0,4.0,0,0,1,2,2,5
459394,28,8.0,2.0,1,0,0,3,2,5
459397,55,4.0,2.0,1,1,1,0,0,5
459405,78,1.0,2.0,0,1,0,1,1,5
459407,35,1.0,3.0,0,0,1,1,2,5
459409,76,0.0,2.0,0,1,1,7,1,5
459410,88,1.0,2.0,0,1,1,7,1,5
459415,30,0.0,4.0,1,0,0,1,2,5
459418,69,0.0,2.0,1,1,0,4,1,5
459419,65,1.0,2.0,1,1,1,1,0,5
459420,70,1.0,2.0,0,1,1,7,2,5
459421,32,0.0,4.0,1,1,0,5,0,5
459423,21,8.0,5.0,1,0,0,5,2,5
459428,39,0.0,2.0,0,0,0,8,2,3
459432,85,0.0,3.0,1,1,1,7,2,5
459436,66,0.0,2.0,0,0,1,0,2,5
459439,50,1.0,2.0,0,1,1,0,0,5
459445,42,0.0,3.0,0,1,1,0,0,5
459447,53,9.0,1.0,1,1,1,0,2,5
459451,45,1.0,2.0,0,1,1,0,2,5
459459,40,4.0,1.0,1,1,1,0,2,5
459461,35,1.0,1.0,0,1,1,0,2,0
459466,48,0.0,3.0,0,1,1,0,0,3
459467,56,0.0,2.0,0,1,1,0,0,5
459480,46,7.0,3.0,0,1,1,3,2,5
459481,49,0.0,2.0,1,1,0,7,2,5
459482,72,1.0,4.0,1,1,0,8,2,5
459497,77,0.0,1.0,0,1,1,7,2,5
459503,42,6.0,4.0,1,1,1,5,1,5
459509,26,1.0,1.0,1,0,1,5,2,5
459512,67,1.0,2.0,1,1,1,7,1,5
459515,55,1.0,1.0,1,1,1,2,2,5
459535,46,8.0,2.0,1,1,1,0,0,5
459536,32,7.0,2.0,1,1,1,5,2,5
459538,49,13.0,1.0,0,0,1,6,2,5
459541,59,1.0,2.0,1,1,1,0,1,5
459549,22,8.0,5.0,1,0,0,5,2,3
459555,28,8.0,1.0,0,0,1,0,2,5
459558,28,1.0,3.0,1,0,1,3,2,5
459564,75,2.0,1.0,1,1,1,7,2,5
459566,37,13.0,2.0,0,1,1,0,2,5
459567,50,0.0,2.0,1,1,1,1,0,5
459571,50,1.0,4.0,0,1,1,4,1,5
459579,35,3.0,5.0,0,1,1,0,0,3
459583,46,0.0,1.0,1,1,1,0,2,5
459585,50,1.0,4.0,0,1,1,0,0,5
459587,33,7.0,3.0,0,0,1,0,2,5
459588,49,0.0,1.0,1,1,1,0,2,5
459591,52,1.0,3.0,1,1,1,0,0,5
459592,25,0.0,3.0,1,0,0,5,2,5
459594,41,6.0,1.0,0,1,1,0,2,5
459597,68,0.0,2.0,0,1,1,0,1,5
459603,79,2.0,2.0,0,1,0,7,1,5
459607,40,5.0,5.0,1,1,1,3,0,5
459617,28,1.0,5.0,1,0,1,3,2,5
459618,57,0.0,2.0,1,1,1,1,0,3
459625,63,8.0,1.0,0,1,0,2,2,5
459626,26,1.0,3.0,0,1,0,3,2,5
459632,50,0.0,3.0,0,1,0,8,1,3
459644,30,9.0,4.0,0,0,0,8,2,1
459658,61,1.0,3.0,1,1,1,0,0,5
459664,42,3.0,1.0,1,0,1,0,2,5
459665,88,4.0,2.0,1,1,1,0,2,5
459672,45,3.0,3.0,1,1,0,0,0,5
459673,86,1.0,1.0,0,1,1,7,2,5
459678,18,1.0,5.0,1,0,0,5,2,5
459686,46,1.0,1.0,1,1,1,0,2,5
459692,72,8.0,2.0,0,1,1,7,1,5
459701,46,3.0,3.0,1,0,0,0,2,4
459711,42,9.0,6.0,1,1,0,4,1,5
459715,19,4.0,4.0,1,0,0,5,2,5
459718,68,1.0,1.0,1,1,1,4,2,5
459725,40,0.0,2.0,0,1,1,0,2,5
459740,23,1.0,3.0,0,0,0,5,2,5
459742,84,1.0,2.0,0,1,0,7,1,5
459745,51,0.0,4.0,1,1,0,0,2,0
459747,41,1.0,5.0,0,1,1,0,0,5
459748,51,1.0,2.0,1,1,0,4,1,5
459756,62,1.0,4.0,0,1,0,7,1,3
459760,38,8.0,1.0,0,1,1,0,2,5
459767,22,3.0,4.0,1,0,0,5,2,5
459779,62,1.0,1.0,0,1,1,3,2,5
459780,43,1.0,3.0,0,0,0,3,2,5
459795,48,1.0,1.0,1,0,1,0,2,5
459801,31,4.0,2.0,0,0,1,2,2,5
459804,46,4.0,4.0,1,1,0,0,1,5
459806,49,1.0,4.0,0,1,0,2,0,5
459815,42,8.0,1.0,1,0,1,0,2,5
459822,39,1.0,1.0,0,0,1,2,2,3
459825,20,0.0,5.0,1,0,0,5,2,1
459832,72,1.0,1.0,1,1,1,4,2,5
459845,70,0.0,1.0,1,1,1,5,2,3
459851,45,2.0,1.0,1,0,1,0,2,5
459853,33,7.0,5.0,1,0,0,4,2,5
459856,50,0.0,3.0,1,1,0,3,0,5
459857,31,6.0,1.0,1,0,1,3,2,5
459861,74,1.0,2.0,0,1,0,7,1,5
459867,49,0.0,2.0,1,1,1,8,1,5
459869,18,1.0,3.0,0,0,0,5,2,5
459871,85,2.0,2.0,0,1,0,3,0,5
459886,28,0.0,4.0,1,1,0,0,2,5
459889,59,9.0,3.0,1,1,1,6,0,5
459897,56,0.0,2.0,0,1,1,0,2,5
459909,69,0.0,1.0,1,1,1,0,2,5
459910,66,0.0,2.0,1,1,1,0,2,5
459911,18,4.0,6.0,1,0,0,5,2,1
459914,36,4.0,1.0,1,0,1,0,2,3
459923,31,1.0,2.0,1,0,1,8,2,2
459925,67,1.0,2.0,1,1,0,4,1,3
459937,39,7.0,1.0,0,0,1,0,2,5
459943,42,4.0,3.0,1,0,1,3,2,5
459945,50,0.0,2.0,1,1,1,0,2,5
459946,37,0.0,2.0,0,1,1,0,0,5
459949,59,0.0,1.0,0,0,1,0,2,5
459953,50,8.0,2.0,1,1,1,0,2,5
459961,48,8.0,3.0,1,1,1,0,2,1
459962,55,9.0,1.0,1,1,1,0,2,5
459966,33,1.0,3.0,0,0,1,1,2,5
459968,38,13.0,1.0,1,0,1,0,2,6
459970,43,0.0,2.0,1,0,1,0,2,5
459973,53,0.0,2.0,0,0,1,0,2,5
459974,37,0.0,1.0,1,0,1,3,2,5
459975,36,5.0,1.0,0,0,1,0,2,5
459981,36,5.0,1.0,1,0,1,0,2,5
459986,62,1.0,1.0,1,1,1,0,2,5
459995,38,2.0,2.0,0,0,0,0,2,5
459996,55,1.0,1.0,1,0,1,3,2,5
459998,60,1.0,2.0,1,1,0,3,0,5
460004,36,7.0,2.0,0,1,1,3,0,4
460006,30,5.0,9.0,1,0,0,3,2,2
460014,66,4.0,3.0,0,0,0,3,2,5
460023,45,1.0,1.0,1,1,1,3,2,5
460040,62,4.0,1.0,0,1,1,6,2,4
460045,61,1.0,2.0,1,1,1,0,2,5
460046,50,4.0,2.0,0,1,1,0,2,5
460050,53,3.0,2.0,1,1,1,3,2,5
460051,39,7.0,1.0,1,0,1,0,2,5
460052,86,0.0,1.0,0,0,1,7,2,2
460058,50,1.0,1.0,1,1,1,0,2,3
460061,52,0.0,1.0,1,0,1,8,2,2
460066,45,0.0,1.0,0,0,0,8,2,5
460068,37,9.0,1.0,0,0,1,0,2,5
460073,36,3.0,1.0,0,1,1,2,2,5
460079,40,1.0,1.0,0,0,0,1,2,5
460081,41,11.0,2.0,1,1,1,0,1,5
460090,80,4.0,2.0,1,1,0,7,0,5
460093,46,3.0,1.0,0,0,1,0,2,2
460095,81,1.0,1.0,0,1,1,7,2,5
460101,26,8.0,3.0,0,0,1,5,2,2
460103,26,1.0,1.0,1,0,1,0,2,3
460105,47,0.0,1.0,0,0,1,0,2,3
460107,48,1.0,5.0,1,1,1,2,0,5
460108,39,1.0,3.0,1,1,1,0,0,1
460109,50,8.0,2.0,1,1,1,0,0,5
460112,26,8.0,2.0,1,1,1,2,0,2
460118,36,4.0,2.0,0,1,1,0,2,5
460119,29,1.0,4.0,1,0,1,5,2,5
460122,39,1.0,1.0,0,0,0,0,2,5
460124,41,0.0,3.0,0,0,1,0,2,5
460134,40,9.0,3.0,1,1,1,3,1,5
460135,25,4.0,3.0,0,0,1,5,2,5
460140,41,7.0,2.0,0,1,1,0,2,5
460141,37,11.0,1.0,1,0,1,0,2,5
460146,51,0.0,3.0,0,1,1,2,0,2
460147,73,1.0,3.0,1,1,1,3,0,5
460160,39,5.0,1.0,1,0,1,3,2,2
460162,19,0.0,4.0,0,0,0,5,2,1
460166,19,0.0,7.0,0,0,0,5,2,1
460167,23,1.0,5.0,0,0,0,3,2,1
460168,83,0.0,2.0,1,1,1,4,1,1
460171,62,1.0,2.0,0,1,1,0,1,5
460174,43,9.0,4.0,0,0,1,0,2,5
460175,27,0.0,5.0,0,0,0,0,2,1
460177,50,0.0,1.0,1,0,1,0,2,5
460179,23,0.0,6.0,0,0,0,3,2,1
460183,35,9.0,2.0,1,0,0,3,2,5
460185,32,9.0,3.0,1,0,0,5,2,5
460187,42,2.0,3.0,0,0,1,1,2,5
460189,33,13.0,1.0,1,0,0,3,2,5
460190,28,9.0,3.0,0,0,1,3,2,5
460196,35,9.0,2.0,0,0,1,5,2,5
460206,39,0.0,2.0,0,1,1,3,2,5
460212,35,11.0,6.0,1,1,1,3,2,5
460214,45,0.0,2.0,0,1,1,2,0,5
460223,52,1.0,1.0,1,0,0,3,2,5
460227,28,0.0,3.0,1,0,0,5,2,5
460242,38,9.0,3.0,1,1,1,5,2,5
460243,42,8.0,1.0,0,0,1,3,2,5
460248,27,7.0,2.0,0,0,1,5,2,5
460252,41,0.0,2.0,1,1,1,0,2,5
460263,41,1.0,2.0,1,1,1,0,2,5
460265,47,0.0,4.0,1,1,1,4,1,5
460270,35,8.0,1.0,1,0,1,1,2,5
460272,88,0.0,1.0,0,0,1,7,2,5
460275,46,6.0,1.0,0,0,1,0,2,5
460276,41,3.0,2.0,0,1,1,0,2,5
460281,30,10.0,5.0,0,0,1,1,2,5
460283,43,12.0,2.0,1,1,1,1,2,5
460284,29,9.0,2.0,0,0,1,3,2,5
460287,48,1.0,1.0,1,1,1,0,2,5
460289,61,4.0,6.0,0,1,1,0,0,3
460298,51,2.0,1.0,0,0,1,7,2,5
460306,43,9.0,1.0,0,0,1,5,2,5
460310,27,14.0,4.0,1,0,0,5,2,5
460315,35,14.0,6.0,0,0,0,1,2,6
460319,39,4.0,2.0,0,1,0,1,0,6
460323,38,10.0,1.0,0,0,1,2,2,5
460324,30,12.0,2.0,0,0,1,3,2,5
460327,43,10.0,1.0,0,0,1,0,2,5
460333,42,10.0,4.0,0,0,0,3,2,5
460336,46,2.0,1.0,0,0,1,0,2,6
460340,47,11.0,2.0,0,0,1,0,2,5
460341,32,13.0,5.0,0,0,0,3,2,6
460344,53,11.0,2.0,0,1,1,0,0,5
460348,39,0.0,2.0,0,0,1,0,2,5
460354,37,3.0,1.0,0,0,1,0,2,2
460356,19,0.0,4.0,1,0,0,5,2,5
460358,30,1.0,1.0,1,0,0,8,2,2
460361,49,0.0,1.0,0,1,1,0,2,3
460362,55,0.0,3.0,1,1,1,5,2,3
460365,59,1.0,2.0,0,1,1,1,2,3
460370,27,9.0,2.0,0,1,1,4,1,5
460371,25,1.0,2.0,0,0,1,0,2,5
460378,37,1.0,1.0,0,0,1,1,2,5
460379,38,9.0,3.0,1,0,1,0,2,5
460380,29,9.0,3.0,1,0,1,3,2,5
460381,28,11.0,2.0,1,0,1,0,2,5
460384,27,8.0,2.0,0,1,1,8,2,5
460387,42,3.0,2.0,0,0,0,3,2,5
460388,43,14.0,2.0,0,0,1,0,2,5
460389,40,8.0,2.0,0,1,1,5,0,5
460390,41,9.0,3.0,1,0,1,0,2,5
460392,46,8.0,1.0,1,1,0,3,2,0
460394,32,9.0,3.0,0,0,1,5,2,5
460397,56,1.0,1.0,0,0,1,3,2,5
460399,28,12.0,1.0,1,0,1,8,2,5
460401,25,0.0,3.0,0,0,1,0,2,6
460404,42,6.0,7.0,1,1,1,0,2,5
460405,41,5.0,2.0,0,0,1,3,2,5
460406,36,3.0,2.0,1,1,1,5,2,5
460408,42,2.0,1.0,0,0,1,0,2,5
460409,42,8.0,4.0,0,0,1,0,2,5
460415,55,1.0,2.0,0,0,1,3,2,5
460431,47,1.0,1.0,0,0,1,2,2,5
460437,26,8.0,1.0,0,0,1,0,2,5
460440,28,5.0,2.0,0,0,0,0,2,5
460443,37,0.0,1.0,0,0,1,1,2,5
460449,25,2.0,1.0,1,0,0,8,2,2
460450,50,1.0,4.0,1,1,1,4,1,3
460453,42,5.0,1.0,0,0,1,1,2,5
460459,30,1.0,5.0,0,0,0,2,2,2
460460,26,2.0,4.0,1,1,0,3,2,2
460477,30,1.0,6.0,1,0,0,3,2,2
460484,20,4.0,7.0,0,0,0,5,2,2
460485,19,8.0,5.0,0,0,0,8,2,2
460489,19,9.0,6.0,1,0,0,5,2,2
460495,20,0.0,6.0,1,0,0,5,2,2
460505,26,1.0,3.0,0,0,1,2,2,2
460507,31,0.0,4.0,1,0,0,1,2,2
460508,31,2.0,3.0,1,1,1,5,1,2
460518,41,9.0,3.0,0,1,1,2,0,2
460541,42,0.0,3.0,0,1,1,6,0,2
460545,78,1.0,3.0,1,1,0,7,1,2
460546,65,1.0,2.0,0,1,1,7,2,2
460549,36,8.0,2.0,1,0,1,0,2,2
460550,55,0.0,4.0,0,1,1,0,0,2
460551,52,0.0,2.0,1,1,1,2,0,2
460555,52,7.0,3.0,1,1,1,6,0,2
460561,37,7.0,1.0,0,0,0,2,2,2
460563,40,1.0,2.0,0,0,0,5,2,0
460571,25,0.0,3.0,1,0,0,1,2,2
460572,33,1.0,4.0,0,0,1,2,2,2
460574,26,1.0,1.0,1,0,1,0,2,2
460582,28,0.0,1.0,0,0,0,3,2,2
460583,18,0.0,6.0,1,0,0,8,2,2
460585,52,0.0,3.0,1,0,0,3,2,2
460586,26,0.0,2.0,1,0,1,5,2,2
460588,18,0.0,4.0,1,0,0,5,2,2
460597,20,1.0,2.0,0,0,0,8,2,2
460598,36,0.0,3.0,0,1,1,1,0,2
460605,27,8.0,2.0,1,1,1,1,0,3
460612,27,8.0,4.0,1,0,1,3,2,2
460621,80,1.0,2.0,1,1,1,7,2,2
460622,71,7.0,3.0,0,1,1,7,1,2
460626,47,8.0,4.0,1,1,0,1,1,5
460638,26,0.0,4.0,0,0,1,0,2,2
460645,37,1.0,2.0,0,0,0,1,2,2
460653,28,8.0,1.0,0,0,0,6,2,3
460656,29,9.0,3.0,0,1,1,0,2,5
460658,37,7.0,3.0,0,1,1,8,0,5
460661,33,8.0,1.0,0,0,0,6,2,5
460678,32,6.0,2.0,0,0,0,1,2,2
460687,48,9.0,2.0,0,1,1,6,0,2
460691,27,8.0,1.0,0,0,0,6,2,2
460702,49,1.0,1.0,0,0,1,0,2,5
460703,33,8.0,5.0,0,1,1,2,0,3
460706,33,7.0,6.0,0,0,0,2,2,3
460708,39,0.0,3.0,1,1,1,0,2,5
460716,50,0.0,4.0,1,1,1,3,0,5
460720,46,0.0,2.0,0,1,1,0,0,5
460722,31,0.0,3.0,1,1,0,3,0,2
460726,57,3.0,2.0,1,1,1,0,0,5
460727,73,1.0,4.0,1,1,0,4,1,2
460729,36,9.0,4.0,1,1,1,3,2,5
460733,53,2.0,4.0,1,0,1,8,2,5
460740,35,2.0,3.0,1,1,1,0,0,5
460743,62,0.0,3.0,1,1,1,0,0,5
460746,23,0.0,3.0,1,0,0,8,2,5
460763,51,1.0,2.0,1,0,1,0,2,5
460769,83,1.0,2.0,0,1,0,7,1,5
460780,26,0.0,2.0,0,0,1,5,2,2
460783,86,1.0,1.0,1,1,1,7,2,5
460785,26,0.0,4.0,1,0,1,5,2,6
460789,42,0.0,3.0,1,1,1,4,2,5
460794,41,9.0,1.0,0,1,1,6,2,5
460796,67,0.0,3.0,1,1,0,7,2,5
460802,68,1.0,2.0,1,1,1,7,1,5
460811,45,0.0,2.0,0,1,0,2,1,5
460813,86,0.0,2.0,0,1,0,7,1,5
460815,62,0.0,2.0,1,1,1,0,1,2
460822,42,1.0,2.0,1,1,1,0,2,5
460825,26,0.0,3.0,1,0,1,1,2,3
